timestamp,object_id,class,cx,cy,bbox_w,bbox_h,distance_m,geofence,event
2025-11-10 22:29:01,0,person,551,422,175.0,114.0,26.31578947368421,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:01,0,person,561,421,155.0,115.0,26.08695652173913,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:01,0,person,557,421,163.0,116.0,25.86206896551724,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:01,0,person,547,421,183.0,115.0,26.08695652173913,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:01,0,person,550,421,177.0,116.0,25.86206896551724,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:01,1,person,245,299,361.0,362.0,8.287292817679559,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:02,0,person,538,421,202.0,116.0,25.86206896551724,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:02,1,person,261,307,349.0,346.0,8.670520231213873,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:02,0,person,568,421,144.0,115.0,26.08695652173913,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:02,1,person,268,308,344.0,343.0,8.746355685131196,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:02,0,person,567,421,146.0,116.0,25.86206896551724,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:02,1,person,277,307,343.0,346.0,8.670520231213873,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:02,0,person,566,421,147.0,115.0,26.08695652173913,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:02,1,person,277,307,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:02,0,person,566,421,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:02,1,person,277,307,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:03,0,person,555,422,168.0,114.0,26.31578947368421,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:03,1,person,277,307,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:03,0,person,555,422,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:03,1,person,277,307,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:03,0,person,555,422,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:03,1,person,277,307,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:03,0,person,567,421,143.0,115.0,26.08695652173913,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:03,1,person,277,307,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:03,0,person,567,421,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:03,1,person,277,307,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:04,0,person,567,421,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:04,1,person,277,307,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:04,0,person,567,421,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:04,1,person,277,307,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:04,0,person,567,421,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:04,1,person,277,307,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:05,0,person,567,421,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:05,1,person,277,307,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:05,0,person,567,421,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:29:05,1,person,277,307,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:30:06,0,person,344,468,51.0,21.0,142.85714285714286,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:30:06,0,person,343,468,53.0,21.0,142.85714285714286,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:30:06,0,person,343,468,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:30:06,0,person,343,468,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:30:06,0,person,343,468,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:30:06,0,person,343,468,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:30:06,0,person,343,468,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:30:07,0,person,343,468,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:30:07,0,person,343,468,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:30:07,0,person,343,468,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:30:07,0,person,331,472,52.0,13.0,230.7692307692308,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
2025-11-10 22:30:07,0,person,331,472,,,,ZonaSeguranca,ENTER_GEOFENCE:ZonaSeguranca;
